,features,rf,et,ada,gb
0,Pclass,0.07208119462799757,0.10313363207356428,0.036,0.07251776050156047
1,Sex,0.2569850462744964,0.4242336913236794,0.002,0.32763150464378515
2,Age,0.09434805892388982,0.04741051966162953,0.282,0.17520070755899592
3,Parch,0.019774577188934425,0.023159954224194017,0.014,0.018571364832380612
4,Fare,0.11358748629859412,0.03867769356619343,0.556,0.22137981771094922
5,Embarked,0.020833998138017642,0.032503463660409675,0.016,0.01611006940700977
6,Has_Cabin,0.0572484266987664,0.09147654226572184,0.01,0.03470520524141749
7,FamilySize,0.07576587321295213,0.04988470744655495,0.032,0.0658598977661377
8,IsAlone,0.00962223962738565,0.023789957505276172,0.004,0.004528553631798683
9,Title,0.2797530990089657,0.16572983827277668,0.048,0.06349511870596505
